Method1,Method2,t,p_value,p_adj_holm
T-Learner,S-Learner,6.934984282906342,4.074241703376561e-12,4.074241703376561e-12
T-Learner,X-Learner,-19.308908439778566,5.330996657861932e-83,2.665498328930966e-82
T-Learner,Linear-Interaction,32.05542150440044,6.415137203429098e-225,5.773623483086188e-224
T-Learner,Constant-Effect,13.357240550308783,1.1163987426392412e-40,4.465594970556965e-40
S-Learner,X-Learner,-22.825125766512542,3.5609555497064204e-115,2.136573329823852e-114
S-Learner,Linear-Interaction,29.071327879035547,1.9239387370092732e-185,1.5391509896074186e-184
S-Learner,Constant-Effect,11.079172487369826,1.612192038777718e-28,3.224384077555436e-28
X-Learner,Linear-Interaction,51.0401808182325,0.0,0.0
X-Learner,Constant-Effect,23.11261332542666,4.847727371839352e-118,3.393409160287546e-117
Linear-Interaction,Constant-Effect,-11.762448855425532,6.235479743276237e-32,1.8706439229828711e-31
