day,date,ts_reward,oracle_reward,ts_cumulative,oracle_cumulative,n_candidates,n_selected,daily_efficiency,cumulative_gap
1,2013-06-04,3197.6802848372595,3047.7849263025832,3197.6802848372595,3047.7849263025832,8,8,1.0491817376091959,149.89535853467623
2,2013-06-05,35325.85677608109,39886.439698900496,38523.53706091835,42934.22462520308,265,100,0.8856608171286563,-4410.68756428473
3,2013-06-06,3079.604471159553,3213.871100864425,41603.141532077905,46148.095726067506,11,11,0.9582227707673906,-4544.954193989601
4,2013-06-07,35213.24603976512,40302.22483484359,76816.38757184302,86450.32056091109,429,100,0.8737295815322148,-9633.932989068067
5,2013-06-10,36355.72684793692,40707.10716591039,113172.11441977994,127157.42772682148,294,100,0.8931051449999013,-13985.313307041535
6,2013-06-11,37731.89536040634,39455.472579609814,150904.0097801863,166612.9003064313,165,100,0.9563158896215022,-15708.890526244999
7,2013-06-12,16308.849759246134,17376.237510394087,167212.85953943242,183989.13781682536,43,43,0.9385719865701959,-16776.278277392936
8,2013-06-13,38897.52881246267,43154.60615367367,206110.3883518951,227143.74397049902,144,100,0.9013528862700881,-21033.355618603935
9,2013-06-14,15396.583727752311,14539.844632647073,221506.9720796474,241683.58860314608,40,40,1.0589235385075269,-20176.61652349867
10,2013-06-24,37926.103983046974,46521.69116938224,259433.0760626944,288205.27977252833,494,100,0.8152348513075475,-28772.203709833935
11,2013-06-25,39607.25679008689,44870.46042863015,299040.3328527813,333075.74020115845,229,100,0.882702259164138,-34035.407348377164
12,2013-06-26,30332.121870672978,28929.126481699448,329372.45472345426,362004.8666828579,74,74,1.0484976755126383,-32632.41195940366
13,2013-06-27,41269.16620152784,44500.443603969965,370641.6209249821,406505.31028682785,159,100,0.9273877485087844,-35863.689361845725
14,2013-06-28,47459.161068371715,54470.09297695787,418100.78199335386,460975.4032637857,686,100,0.8712884167179236,-42874.621270431846
15,2013-07-08,31629.904985823574,36560.70211668927,449730.6869791774,497536.10538047494,302,100,0.8651339595413602,-47805.41840129753
16,2013-07-09,35150.932687815664,40241.76056510747,484881.6196669931,537777.8659455824,254,100,0.8734939076769439,-52896.2462785893
17,2013-07-10,39091.946317344045,43590.12913210844,523973.5659843371,581367.9950776908,265,100,0.8968073069677823,-57394.42909335368
18,2013-07-11,44378.51641083907,51177.818123464196,568352.0823951762,632545.813201155,510,100,0.8671435797395247,-64193.73080597888
19,2013-07-12,43790.95403759272,55019.024511843614,612143.0364327689,687564.8377129986,536,100,0.7959238540873458,-75421.8012802297
20,2013-07-15,311.58235064858644,299.40018163430074,612454.6187834175,687864.237894633,1,1,1.0406885825779675,-75409.61911121546
21,2013-07-17,241.92656810910358,205.33284374672206,612696.5453515266,688069.5707383797,1,1,1.178216615007387,-75373.02538685314
